customer_id,subscription_plan,monthly_charges,tenure,usage_frequency,last_login_days,customer_support_calls,payment_method,churn,churn_flag,engagement_score,tenure_group,churn_probability,risk_segment
7590-VHVEG,Month-to-month,29.85,1,2,22,4,Electronic check,No,0,0.08695652173913043,New,0.31333333333333335,Low
5575-GNVDE,One year,56.95,34,4,6,4,Mailed check,No,0,0.5714285714285714,Loyal,0.006666666666666667,Low
3668-QPYBK,Month-to-month,53.85,2,4,18,3,Mailed check,Yes,1,0.21052631578947367,New,0.7866666666666666,High
7795-CFOCW,One year,42.3,45,4,6,2,Bank transfer (automatic),No,0,0.5714285714285714,Loyal,0.023333333333333334,Low
9237-HQITU,Month-to-month,70.7,2,2,22,6,Electronic check,Yes,1,0.08695652173913043,New,0.9447804949383275,High
9305-CDSKC,Month-to-month,99.65,8,6,9,6,Electronic check,Yes,1,0.6,New,0.9966666666666667,High
1452-KIOVK,Month-to-month,89.1,22,5,10,5,Credit card (automatic),No,0,0.45454545454545453,Mid,0.5666666666666667,Medium
6713-OKOMC,Month-to-month,29.75,10,2,15,4,Mailed check,No,0,0.125,New,0.33666666666666667,Low
7892-POOKP,Month-to-month,104.8,28,7,9,4,Electronic check,Yes,1,0.7,Loyal,0.8894418934557808,High
6388-TABGU,One year,56.15,62,4,6,3,Bank transfer (automatic),No,0,0.5714285714285714,Loyal,0.0033333333333333335,Low
9763-GRSKD,Month-to-month,49.95,13,3,12,4,Mailed check,No,0,0.23076923076923078,Mid,0.02666666666666667,Low
7469-LKBCI,Two year,18.95,16,1,15,1,Credit card (automatic),No,0,0.0625,Mid,0.0,Low
8091-TTVAX,One year,100.35,58,6,4,6,Credit card (automatic),No,0,1.2,Loyal,0.06666666666666667,Low
0280-XJGEX,Month-to-month,103.7,49,7,9,5,Bank transfer (automatic),Yes,1,0.7,Loyal,0.9494418934557808,High
5129-JLPIS,Month-to-month,105.5,25,7,9,3,Electronic check,No,0,0.7,Loyal,0.3,Low
3655-SNQYZ,Two year,113.25,69,9,3,2,Credit card (automatic),No,0,2.25,Loyal,0.0,Low
8191-XWSZG,One year,20.65,52,1,15,1,Mailed check,No,0,0.0625,Loyal,0.0,Low
9959-WOFKT,Two year,106.7,71,7,4,5,Bank transfer (automatic),No,0,1.4,Loyal,0.21,Low
4190-MFLUW,Month-to-month,55.2,10,4,11,3,Credit card (automatic),Yes,1,0.3333333333333333,New,0.23333333333333334,Low
4183-MYFRB,Month-to-month,90.05,21,5,10,5,Electronic check,No,0,0.45454545454545453,Mid,0.24666666666666667,Low
8779-QRDMV,Month-to-month,39.65,1,3,20,5,Electronic check,Yes,1,0.14285714285714285,New,0.94,High
1680-VDCWW,One year,19.8,12,1,15,1,Bank transfer (automatic),No,0,0.0625,New,0.5294251587656632,Medium
1066-JKSGK,Month-to-month,20.15,1,1,27,1,Mailed check,Yes,1,0.03571428571428571,New,0.7855091785319727,High
3638-WEABW,Two year,59.9,58,5,5,2,Credit card (automatic),No,0,0.8333333333333334,Loyal,0.0,Low
6322-HRPFA,Month-to-month,59.6,49,5,10,1,Credit card (automatic),No,0,0.45454545454545453,Loyal,0.24666666666666667,Low
6865-JZNKO,Month-to-month,55.3,30,4,11,3,Bank transfer (automatic),No,0,0.3333333333333333,Loyal,0.02666666666666667,Low
6467-CHFZW,Month-to-month,99.35,47,6,9,5,Electronic check,Yes,1,0.6,Loyal,0.6866666666666666,Medium
8665-UTDHZ,Month-to-month,30.2,1,2,22,4,Electronic check,Yes,1,0.08695652173913043,New,0.71,High
5248-YGIJN,Two year,90.25,72,9,3,1,Credit card (automatic),No,0,2.25,Loyal,0.0,Low
8773-HHUOZ,Month-to-month,64.7,17,4,11,5,Mailed check,Yes,1,0.3333333333333333,Mid,0.7066666666666667,High
3841-NFECX,Two year,96.35,71,7,4,2,Credit card (automatic),No,0,1.4,Loyal,0.006666666666666667,Low
4929-XIHVW,Month-to-month,95.5,2,5,17,6,Credit card (automatic),No,0,0.2777777777777778,New,0.3233333333333333,Low
6827-IEAUQ,One year,66.15,27,6,4,1,Mailed check,No,0,1.2,Loyal,0.006666666666666667,Low
7310-EGVHZ,Month-to-month,20.2,1,1,27,1,Bank transfer (automatic),No,0,0.03571428571428571,New,0.5172247127352585,Medium
3413-BMNZE,Month-to-month,45.25,1,2,22,5,Bank transfer (automatic),No,0,0.08695652173913043,New,0.3619365582702128,Low
6234-RAAPL,Two year,99.9,72,7,4,2,Bank transfer (automatic),No,0,1.4,Loyal,0.0,Low
6047-YHPVI,Month-to-month,69.7,5,2,22,6,Electronic check,Yes,1,0.08695652173913043,New,0.6619365582702128,Medium
6572-ADKRS,Month-to-month,74.8,46,3,12,6,Credit card (automatic),No,0,0.23076923076923078,Loyal,0.22,Low
5380-WJKOV,Month-to-month,106.35,34,7,9,5,Electronic check,Yes,1,0.7,Loyal,0.7161085601224475,High
8168-UQWWF,Month-to-month,97.85,11,6,9,6,Bank transfer (automatic),Yes,1,0.6,New,0.9333333333333333,High
8865-TNMNX,One year,49.55,10,3,8,4,Mailed check,No,0,0.3333333333333333,New,0.03666666666666667,Low
9489-DEDVP,Two year,69.2,70,6,4,3,Credit card (automatic),No,0,1.2,Loyal,0.02,Low
9867-JCZSP,One year,20.75,17,1,15,1,Mailed check,No,0,0.0625,Mid,0.0,Low
4671-VJLCL,Two year,79.85,63,8,3,1,Credit card (automatic),No,0,2.0,Loyal,0.03333333333333333,Low
4080-IIARD,Month-to-month,76.2,13,7,9,1,Electronic check,No,0,0.7,Mid,0.02666666666666667,Low
3714-NTNFO,Month-to-month,84.5,49,4,11,6,Electronic check,No,0,0.3333333333333333,Loyal,0.5285128049167304,Medium
5948-UJZLF,Month-to-month,49.25,2,3,20,4,Mailed check,No,0,0.14285714285714285,New,0.2833333333333333,Low
7760-OYPDY,Month-to-month,80.65,2,3,20,6,Electronic check,Yes,1,0.14285714285714285,New,0.9682443244447417,High
7639-LIAYI,Two year,79.75,52,7,4,2,Credit card (automatic),No,0,1.4,Loyal,0.0,Low
2954-PIBKO,Two year,64.15,69,6,4,2,Credit card (automatic),No,0,1.2,Loyal,0.17666666666666667,Low
8012-SOUDQ,Month-to-month,90.25,43,5,10,5,Electronic check,No,0,0.45454545454545453,Loyal,0.023333333333333334,Low
9420-LOJKX,Month-to-month,99.1,15,6,9,4,Credit card (automatic),Yes,1,0.6,Mid,0.7766666666666666,High
6575-SUVOI,Month-to-month,69.5,25,6,9,2,Credit card (automatic),No,0,0.6,Loyal,0.0033333333333333335,Low
7495-OOKFY,Month-to-month,80.65,8,4,11,5,Credit card (automatic),Yes,1,0.3333333333333333,New,0.77,High
4667-QONEA,One year,74.85,60,7,4,1,Credit card (automatic),No,0,1.4,Loyal,0.01,Low
1658-BYGOY,Month-to-month,95.45,18,5,10,6,Electronic check,Yes,1,0.45454545454545453,Mid,0.72,High
8769-KKTPH,One year,99.65,63,6,4,5,Credit card (automatic),No,0,1.2,Loyal,0.07333333333333333,Low
5067-XJQFU,One year,108.45,66,8,3,3,Electronic check,No,0,2.0,Loyal,0.07,Low
3957-SQXML,Two year,24.95,34,2,10,1,Credit card (automatic),No,0,0.18181818181818182,Loyal,0.02,Low
5954-BDFSG,Two year,107.5,72,7,4,4,Credit card (automatic),No,0,1.4,Loyal,0.023333333333333334,Low
0434-CSFON,Month-to-month,100.5,47,6,9,6,Electronic check,No,0,0.6,Loyal,0.23,Low
1215-FIGMP,Month-to-month,89.9,60,5,10,5,Bank transfer (automatic),No,0,0.45454545454545453,Loyal,0.08333333333333333,Low
0526-SXDJP,Two year,42.1,72,4,6,3,Bank transfer (automatic),No,0,0.5714285714285714,Loyal,0.006666666666666667,Low
0557-ASKVU,One year,54.4,18,4,6,3,Credit card (automatic),No,0,0.5714285714285714,Mid,0.07333333333333333,Low
5698-BQJOH,Month-to-month,94.4,9,5,10,6,Electronic check,Yes,1,0.45454545454545453,New,0.7,Medium
5122-CYFXA,Month-to-month,75.3,3,6,16,2,Electronic check,No,0,0.35294117647058826,New,0.16666666666666666,Low
8627-ZYGSZ,One year,78.9,47,4,6,5,Electronic check,No,0,0.5714285714285714,Loyal,0.0033333333333333335,Low
3410-YOQBQ,Two year,79.2,31,7,4,2,Mailed check,No,0,1.4,Loyal,0.0033333333333333335,Low
3170-NMYVV,Two year,20.15,50,1,15,1,Bank transfer (automatic),No,0,0.0625,Loyal,0.0033333333333333335,Low
7410-OIEDU,Month-to-month,79.85,10,4,11,5,Mailed check,No,0,0.3333333333333333,New,0.19333333333333333,Low
2273-QCKXA,Month-to-month,49.05,1,3,20,3,Mailed check,No,0,0.14285714285714285,New,0.23666666666666666,Low
0731-EBJQB,One year,20.4,52,1,15,1,Electronic check,No,0,0.0625,Loyal,0.0,Low
1891-QRQSA,Two year,111.6,64,8,3,3,Bank transfer (automatic),No,0,2.0,Loyal,0.03666666666666667,Low
8028-PNXHQ,Two year,24.25,62,2,10,1,Bank transfer (automatic),No,0,0.18181818181818182,Loyal,0.0,Low
5630-AHZIL,Month-to-month,64.5,3,5,17,2,Bank transfer (automatic),No,0,0.2777777777777778,New,0.18,Low
2673-CXQEU,One year,110.5,56,8,3,4,Electronic check,No,0,2.0,Loyal,0.29,Low
6416-JNVRK,One year,55.65,46,3,8,5,Credit card (automatic),No,0,0.3333333333333333,Loyal,0.056666666666666664,Low
5590-ZSKRV,Month-to-month,54.65,8,4,11,3,Mailed check,No,0,0.3333333333333333,New,0.02,Low
0191-ZHSKZ,Month-to-month,74.75,30,6,9,3,Electronic check,No,0,0.6,Loyal,0.06333333333333334,Low
